RabA,RabB,RabC,RabD,RabE,area,memERGIC,memGolgiMedial,memL,memLS,memS,memTGN,memTub,membraneMarker,proton,solL,solS,solubleMarker,volume,
15393.8,61575.22,1769659.14,15393.8,15393.8,1877415.77,236.65,5411.58,0.0,0.0,1547.81,1547.81,0.8,0.0,181.99,0.0,35717.24,1.0,1.819846084E7,
1790550.73,107756.63,15393.8,15393.8,15393.8,1944488.77,7038.77,889.23,8033.0,8033.0,3472.09,3472.09,0.03,1.0,465.6,196257.0,91377.3,0.0,1.884077992E7,
15393.8,15393.8,1692690.12,15393.8,15393.8,1754265.34,236.65,5364.1,0.0,0.0,1509.11,1509.11,0.16,0.0,177.89,0.0,34912.24,1.0,1.712089456E7,
1873017.54,323269.88,46181.41,15393.8,15393.8,2273256.44,7455.79,889.23,8033.0,8033.0,3565.94,3565.94,0.92,1.0,476.78,196257.0,93571.1,0.0,2.167385045E7,
15393.8,15393.8,1615721.1,15393.8,15393.8,1677296.32,236.65,5215.04,0.0,0.0,1468.67,1468.67,0.03,0.0,173.62,0.0,34075.07,1.0,1.644741563E7,
1854325.06,461814.12,123150.43,15393.8,15393.8,2470077.22,7455.79,518.72,8033.0,8033.0,3612.12,3612.12,2.16,1.0,481.11,196257.0,94421.68,0.0,2.369109138E7,
15393.8,15393.8,1554145.89,15393.8,15393.8,1615721.1,236.65,5115.18,0.0,0.0,1441.58,1441.58,0.01,0.0,170.77,0.0,33514.63,1.0,1.590863249E7,
1859822.85,431026.51,92362.82,15393.8,15393.8,2413999.8,7394.59,518.72,8033.0,8033.0,3544.6,3544.6,0.7,1.0,473.0,196257.0,92829.74,0.0,2.347424487E7,
15393.8,15393.8,1477176.87,15393.8,15393.8,1538752.08,236.65,5012.28,0.0,0.0,1413.71,1413.71,0.0,0.0,167.84,0.0,32939.64,1.0,1.523515357E7,
1825736.57,400238.9,76969.02,15393.8,15393.8,2333732.1,7271.96,432.26,8033.0,8033.0,3453.51,3453.51,0.15,1.0,462.03,196257.0,90676.36,0.0,2.265086396E7,
15393.8,46181.41,1507964.47,15393.8,15393.8,1600327.3,236.65,5185.19,0.0,0.0,1491.07,1491.07,0.05,0.0,177.4,0.0,34816.97,1.0,1.577393671E7,
1837831.7,323269.88,30787.61,15393.8,15393.8,2222676.8,7271.96,172.91,8033.0,8033.0,3338.98,3338.98,0.02,1.0,448.19,196257.0,87960.53,0.0,2.162533455E7,
15393.8,30787.61,1584933.49,15393.8,15393.8,1661902.51,236.65,5680.97,0.0,0.0,1541.23,1541.23,0.38,0.0,183.39,0.0,35990.93,1.0,1.631271985E7,
1803745.42,323269.88,15393.8,15393.8,15393.8,2173196.72,7211.45,172.91,8033.0,8033.0,3246.83,3246.83,0.0,1.0,437.02,196257.0,85768.55,0.0,2.108862366E7,
15393.8,15393.8,1523358.28,15393.8,15393.8,1584933.49,236.65,5569.53,0.0,0.0,1498.13,1498.13,0.06,0.0,178.82,0.0,35094.4,1.0,1.563924092E7,
1824637.01,261694.67,15393.8,15393.8,15393.8,2132513.09,7211.45,172.91,8033.0,8033.0,3201.43,3201.43,0.0,1.0,431.49,196257.0,84683.5,0.0,2.068861579E7,
15393.8,15393.8,1446389.26,15393.8,15393.8,1507964.47,236.65,5344.41,0.0,0.0,1439.93,1439.93,0.0,0.0,172.66,0.0,33885.37,1.0,1.4965762E7,
1756464.45,184725.65,15393.8,15393.8,15393.8,1987371.51,7089.77,172.91,8033.0,8033.0,3085.28,3085.28,0.0,1.0,417.34,196257.0,81906.52,0.0,1.932839489E7,
15393.8,92362.82,1554145.89,61575.22,15393.8,1738871.53,236.65,5720.67,0.0,0.0,1621.87,1621.87,1.88,0.0,193.27,0.0,37929.65,1.0,1.698619877E7,
1825736.57,184725.65,15393.8,15393.8,15393.8,2056643.63,7158.43,172.91,8033.0,8033.0,3010.4,3010.4,0.06,1.0,407.96,196257.0,80065.2,0.0,1.98599416E7,
