membraneMarker,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,memERGIC,memERGICRabA,memERGICRabB,memERGICRabC,memERGICRabD,memERGICRabE,memGolgiMedial,memGolgiMedialRabA,memGolgiMedialRabB,memGolgiMedialRabC,memGolgiMedialRabD,memGolgiMedialRabE,memL,memLRabA,memLRabB,memLRabC,memLRabD,memLRabE,memLS,memLSRabA,memLSRabB,memLSRabC,memLSRabD,memLSRabE,memS,memSRabA,memSRabB,memSRabC,memSRabD,memSRabE,memTGN,memTGNRabA,memTGNRabB,memTGNRabC,memTGNRabD,memTGNRabE,memTub,memTubRabA,memTubRabB,memTubRabC,memTubRabD,memTubRabE,proton,protonRabA,protonRabB,protonRabC,protonRabD,protonRabE,solL,solLRabA,solLRabB,solLRabC,solLRabD,solLRabE,solS,solSRabA,solSRabB,solSRabC,solSRabD,solSRabE,solubleMarker,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,
0.0,0.81822,0.16832,0.00673,0.00673,0.0,0.0,0.77468,0.18967,0.02898,0.00649,1.8E-4,0.0,0.72425,0.16374,0.10117,0.00999,8.5E-4,0.0,0.81822,0.16832,0.00673,0.00673,0.0,0.0,0.81822,0.16832,0.00673,0.00673,0.0,0.00116,0.63573,0.22452,0.09756,0.03775,0.00328,0.00116,0.63573,0.22452,0.09756,0.03775,0.00328,0.86212,2.8E-4,0.01521,0.07783,0.03581,0.00876,9.3E-4,0.65048,0.22112,0.08992,0.0347,0.00285,0.0,0.81822,0.16832,0.00673,0.00673,0.0,9.3E-4,0.65048,0.22112,0.08992,0.0347,0.00285,0.0,0.01099,0.94503,0.04398,0.0,0.0,
0.0,0.7978,0.18915,0.00652,0.00652,0.0,0.0,0.75555,0.20861,0.02935,0.0063,1.9E-4,0.0,0.7062,0.17873,0.10435,0.00987,8.5E-4,0.0,0.7978,0.18915,0.00652,0.00652,0.0,0.0,0.7978,0.18915,0.00652,0.00652,0.0,0.00146,0.61612,0.24217,0.09944,0.03781,0.00301,0.00146,0.61612,0.24217,0.09944,0.03781,0.00301,0.86878,1.8E-4,0.01196,0.08124,0.03493,0.00292,0.00117,0.63075,0.23904,0.09167,0.03476,0.00262,0.0,0.7978,0.18915,0.00652,0.00652,0.0,0.00117,0.63075,0.23904,0.09167,0.03476,0.00262,0.0,0.01053,0.93681,0.05265,0.0,0.0,
0.0,0.78109,0.19315,0.01932,0.00644,0.0,0.0,0.73994,0.21208,0.04154,0.00624,2.1E-4,0.0,0.51968,0.13646,0.32951,0.01345,9.0E-4,0.0,0.78109,0.19315,0.01932,0.00644,0.0,0.0,0.78109,0.19315,0.01932,0.00644,0.0,0.00204,0.58132,0.26199,0.11117,0.04072,0.00276,0.00204,0.58132,0.26199,0.11117,0.04072,0.00276,0.90806,0.01136,0.02244,0.03939,0.01764,0.00112,0.00164,0.59708,0.25789,0.10391,0.03709,0.00239,0.0,0.78109,0.19315,0.01932,0.00644,0.0,0.00164,0.59708,0.25789,0.10391,0.03709,0.00239,0.0,0.01112,0.94442,0.04446,0.0,0.0,
0.0,0.7988,0.18779,0.00671,0.00671,0.0,0.0,0.76117,0.20458,0.02776,0.00631,1.8E-4,0.0,0.35791,0.12332,0.50161,0.01293,0.00423,0.0,0.7988,0.18779,0.00671,0.00671,0.0,0.0,0.7988,0.18779,0.00671,0.00671,0.0,0.00207,0.59371,0.23566,0.12382,0.0418,0.00295,0.00207,0.59371,0.23566,0.12382,0.0418,0.00295,0.9087,0.01105,0.00191,0.06887,0.00899,4.7E-4,0.00167,0.60989,0.23331,0.11444,0.03813,0.00257,0.0,0.7988,0.18779,0.00671,0.00671,0.0,0.00167,0.60989,0.23331,0.11444,0.03813,0.00257,0.0,0.01205,0.97589,0.01205,0.0,0.0,
0.0,0.82282,0.163,0.00709,0.00709,0.0,0.0,0.75593,0.20258,0.03422,0.00706,2.1E-4,0.0,0.37201,0.13137,0.47252,0.02026,0.00384,0.0,0.82282,0.163,0.00709,0.00709,0.0,0.0,0.82282,0.163,0.00709,0.00709,0.0,0.00213,0.58519,0.227,0.13759,0.04512,0.00297,0.00213,0.58519,0.227,0.13759,0.04512,0.00297,0.90901,0.00159,0.01317,0.04107,0.03479,3.7E-4,0.00171,0.60374,0.22383,0.12701,0.04112,0.0026,0.0,0.82282,0.163,0.00709,0.00709,0.0,0.00171,0.60374,0.22383,0.12701,0.04112,0.0026,0.0,0.04257,0.93614,0.02129,0.0,0.0,
0.0,0.81489,0.17087,0.00712,0.00712,0.0,0.0,0.76539,0.19249,0.03499,0.0069,2.3E-4,0.0,0.36489,0.1222,0.49194,0.01692,0.00406,0.0,0.81489,0.17087,0.00712,0.00712,0.0,0.0,0.81489,0.17087,0.00712,0.00712,0.0,0.00219,0.57364,0.23558,0.13742,0.04351,0.00767,0.00219,0.57364,0.23558,0.13742,0.04351,0.00767,0.92836,0.0027,0.01448,0.00472,0.01981,0.02993,0.00176,0.59229,0.23242,0.12728,0.03975,0.0065,0.0,0.81489,0.17087,0.00712,0.00712,0.0,0.00176,0.59229,0.23242,0.12728,0.03975,0.0065,0.0,0.02223,0.95554,0.02223,0.0,0.0,
0.0,0.84369,0.1421,0.00711,0.00711,0.0,0.0,0.78824,0.16971,0.03501,0.00681,2.4E-4,0.0,0.37776,0.10696,0.49802,0.01306,0.0042,0.0,0.84369,0.1421,0.00711,0.00711,0.0,0.0,0.84369,0.1421,0.00711,0.00711,0.0,0.00261,0.58836,0.22236,0.13692,0.04122,0.00854,0.00261,0.58836,0.22236,0.13692,0.04122,0.00854,0.95162,0.0016,0.01721,0.00328,0.01677,0.00953,0.00209,0.60804,0.21801,0.12686,0.03775,0.00725,0.0,0.84369,0.1421,0.00711,0.00711,0.0,0.00209,0.60804,0.21801,0.12686,0.03775,0.00725,0.0,0.01163,0.97673,0.01163,0.0,0.0,
0.0,0.85681,0.12887,0.00716,0.00716,0.0,0.0,0.78612,0.16761,0.0392,0.00682,2.6E-4,0.0,0.38371,0.09383,0.48244,0.03479,0.00522,0.0,0.85681,0.12887,0.00716,0.00716,0.0,0.0,0.85681,0.12887,0.00716,0.00716,0.0,0.00261,0.58447,0.21417,0.14354,0.04558,0.00964,0.00261,0.58447,0.21417,0.14354,0.04558,0.00964,0.95162,5.6E-4,0.01407,0.0024,0.02683,0.00452,0.00209,0.60528,0.20955,0.13353,0.04131,0.00824,0.0,0.85681,0.12887,0.00716,0.00716,0.0,0.00209,0.60528,0.20955,0.13353,0.04131,0.00824,0.0,0.00918,0.90822,0.0826,0.0,0.0,
0.0,0.8737,0.11144,0.00743,0.00743,0.0,0.0,0.80446,0.14952,0.03865,0.00713,2.4E-4,0.0,0.39096,0.0963,0.48059,0.02754,0.00461,0.0,0.8737,0.11144,0.00743,0.00743,0.0,0.0,0.8737,0.11144,0.00743,0.00743,0.0,0.00312,0.59774,0.2011,0.14113,0.04735,0.00956,0.00312,0.59774,0.2011,0.14113,0.04735,0.00956,0.96599,5.5E-4,0.00801,0.01813,0.00628,0.00105,0.0025,0.61886,0.19628,0.13121,0.04297,0.00818,0.0,0.8737,0.11144,0.00743,0.00743,0.0,0.0025,0.61886,0.19628,0.13121,0.04297,0.00818,0.0,0.00781,0.08596,0.88278,0.01563,0.00781,
0.0,0.8921,0.09249,0.00771,0.00771,0.0,0.0,0.78368,0.16523,0.0428,0.00803,2.6E-4,0.0,0.39934,0.07652,0.49975,0.02013,0.00427,0.0,0.8921,0.09249,0.00771,0.00771,0.0,0.0,0.8921,0.09249,0.00771,0.00771,0.0,0.00358,0.58187,0.21121,0.1455,0.04935,0.00848,0.00358,0.58187,0.21121,0.1455,0.04935,0.00848,0.96907,3.3E-4,0.00837,0.01953,0.00239,3.1E-4,0.00286,0.60519,0.20449,0.13533,0.0449,0.00724,0.0,0.8921,0.09249,0.00771,0.00771,0.0,0.00286,0.60519,0.20449,0.13533,0.0449,0.00724,0.0,0.0082,0.0656,0.90161,0.0164,0.0082,
0.0,0.89372,0.08993,0.00818,0.00818,0.0,0.0,0.79915,0.14828,0.04256,0.00976,2.5E-4,0.0,0.40012,0.05905,0.49867,0.03778,0.00438,0.0,0.89372,0.08993,0.00818,0.00818,0.0,0.0,0.89372,0.08993,0.00818,0.00818,0.0,0.00382,0.57879,0.20168,0.15124,0.0561,0.00838,0.00382,0.57879,0.20168,0.15124,0.0561,0.00838,0.96922,0.00396,0.00524,0.01743,0.00398,1.7E-4,0.00304,0.60227,0.19552,0.14085,0.05114,0.00718,0.0,0.89372,0.08993,0.00818,0.00818,0.0,0.00304,0.60227,0.19552,0.14085,0.05114,0.00718,0.0,0.00788,0.03151,0.90548,0.04726,0.00788,
0.0,0.92719,0.05663,0.00809,0.00809,0.0,0.0,0.82632,0.12131,0.0435,0.00861,2.6E-4,0.0,0.41504,0.04045,0.51035,0.02965,0.00451,0.0,0.92719,0.05663,0.00809,0.00809,0.0,0.0,0.92719,0.05663,0.00809,0.00809,0.0,0.00406,0.58809,0.19104,0.15363,0.05502,0.00817,0.00406,0.58809,0.19104,0.15363,0.05502,0.00817,0.96924,0.00367,0.00396,0.01406,0.00903,3.0E-5,0.00322,0.61313,0.18354,0.14316,0.04992,0.00703,0.0,0.92719,0.05663,0.00809,0.00809,0.0,0.00322,0.61313,0.18354,0.14316,0.04992,0.00703,0.0,0.00827,0.0248,0.92559,0.03307,0.00827,
0.0,0.86306,0.12253,0.00721,0.00721,0.0,0.0,0.76694,0.18434,0.03831,0.00947,9.4E-4,0.0,0.38628,0.07228,0.47141,0.05365,0.0164,0.0,0.86306,0.12253,0.00721,0.00721,0.0,0.0,0.86306,0.12253,0.00721,0.00721,0.0,0.00422,0.54675,0.22573,0.14937,0.05677,0.01716,0.00422,0.54675,0.22573,0.14937,0.05677,0.01716,0.97133,0.00316,0.00767,0.00971,0.00597,0.00217,0.00335,0.57012,0.2207,0.13903,0.05199,0.0148,0.0,0.86306,0.12253,0.00721,0.00721,0.0,0.00335,0.57012,0.2207,0.13903,0.05199,0.0148,0.0,0.00752,0.03008,0.8571,0.07521,0.03008,
0.0,0.88749,0.09751,0.0075,0.0075,0.0,0.0,0.82912,0.12489,0.03626,0.00898,7.5E-4,0.0,0.39724,0.05771,0.48514,0.04706,0.01286,0.0,0.88749,0.09751,0.0075,0.0075,0.0,0.0,0.88749,0.09751,0.0075,0.0075,0.0,0.00422,0.55717,0.2153,0.15,0.05711,0.01621,0.00422,0.55717,0.2153,0.15,0.05711,0.01621,0.97133,0.00268,0.00794,0.00627,0.01052,0.00127,0.00335,0.58134,0.20945,0.13976,0.05216,0.01393,0.0,0.88749,0.09751,0.0075,0.0075,0.0,0.00335,0.58134,0.20945,0.13976,0.05216,0.01393,0.0,0.00807,0.0242,0.87899,0.06454,0.0242,
0.0,0.83855,0.14039,0.01404,0.00702,0.0,0.0,0.79751,0.14998,0.04284,0.00916,5.1E-4,0.0,0.37564,0.06832,0.47472,0.07171,0.00961,0.0,0.83855,0.14039,0.01404,0.00702,0.0,0.0,0.83855,0.14039,0.01404,0.00702,0.0,0.00602,0.5207,0.2373,0.15958,0.06032,0.01608,0.00602,0.5207,0.2373,0.15958,0.06032,0.01608,0.97809,0.00518,0.00485,0.00113,0.01041,3.4E-4,0.00483,0.54371,0.23307,0.14967,0.05491,0.01381,0.0,0.83855,0.14039,0.01404,0.00702,0.0,0.00483,0.54371,0.23307,0.14967,0.05491,0.01381,0.0,0.0082,0.0082,0.88521,0.08199,0.0164,
