#cisterns#,#vesicles#,entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,
5.0,37.0,1.60591,0.32098,0.21268,0.22218,0.17503,0.1885,0.20161,
5.0,20.0,1.60828,0.34497,0.21639,0.20362,0.20031,0.19037,0.18931,
5.0,17.0,1.60596,0.37271,0.20335,0.20359,0.22658,0.17567,0.1908,
5.0,41.0,1.60538,0.33516,0.21294,0.19874,0.22423,0.17155,0.19255,
5.0,9.0,1.60623,0.42454,0.20141,0.19218,0.22933,0.19702,0.18006,
5.0,27.0,1.60668,0.37898,0.19529,0.18626,0.22952,0.19292,0.19601,
5.0,14.0,1.60617,0.38896,0.1824,0.20581,0.22887,0.18769,0.19522,
5.0,16.0,1.60831,0.36712,0.19635,0.19334,0.21934,0.19496,0.19601,
5.0,20.0,1.60777,0.36365,0.19097,0.21488,0.21324,0.18699,0.1939,
5.0,18.0,1.60408,0.36788,0.19761,0.20979,0.23438,0.17536,0.18285,
5.0,26.0,1.59781,0.36548,0.18917,0.20026,0.25869,0.16687,0.185,
5.0,16.0,1.59689,0.42695,0.17761,0.21324,0.23622,0.15089,0.22203,
5.0,30.0,1.59483,0.39231,0.1832,0.22871,0.22871,0.14228,0.21709,
5.0,19.0,1.60528,0.35405,0.17979,0.2269,0.20388,0.17921,0.21022,
